GTEX_ID	File_Name	Google_URL	AWS_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	md5sum	File size	Assignment
GTEX-13U4I-0004-SM-6WSAN	GTEX-13U4I-0004-SM-6WSAN.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13U4I-0004-SM-6WSAN.cram		dg.4503/a5807dd0-18b7-4ab2-84f4-726b0b219746			dos://dg.4503/a5807dd0-18b7-4ab2-84f4-726b0b219746	829f81885e3777422c35feeaaaa28448	51226480779	Xenon
GTEX-13VXT-0003-SM-6WSCL	GTEX-13VXT-0003-SM-6WSCL.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13VXT-0003-SM-6WSCL.crai		dg.4503/1441b564-db1e-4b98-b676-3a84312316bf			dos://dg.4503/1441b564-db1e-4b98-b676-3a84312316bf	6eaff36c2dc08591b8799a3abaa3ccfd	1680057	Xenon
GTEX-13VXT-0003-SM-6WSCL	GTEX-13VXT-0003-SM-6WSCL.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13VXT-0003-SM-6WSCL.cram		dg.4503/84b86b2e-0a58-47dc-94fe-40ec60e7dd49			dos://dg.4503/84b86b2e-0a58-47dc-94fe-40ec60e7dd49	e4c2a759f776cad18843f473e38150b2	49484543519	Xenon
GTEX-13VXU-0004-SM-6WSAS	GTEX-13VXU-0004-SM-6WSAS.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13VXU-0004-SM-6WSAS.crai		dg.4503/99d3aaa0-ef2b-40ed-8e93-36b4d526d512			dos://dg.4503/99d3aaa0-ef2b-40ed-8e93-36b4d526d512	86e7b018bf248882689d5b70003c113d	1597991	Xenon
GTEX-13VXU-0004-SM-6WSAS	GTEX-13VXU-0004-SM-6WSAS.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13VXU-0004-SM-6WSAS.cram		dg.4503/8e6b1498-3a87-49f3-9a5c-01cc0d97651e			dos://dg.4503/8e6b1498-3a87-49f3-9a5c-01cc0d97651e	634628d02cef091a57b52e0122353033	50491254187	Xenon
GTEX-13W3W-0004-SM-6WSCQ	GTEX-13W3W-0004-SM-6WSCQ.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13W3W-0004-SM-6WSCQ.crai		dg.4503/350a3d53-13c9-4985-b2d3-a7f936caa5aa			dos://dg.4503/350a3d53-13c9-4985-b2d3-a7f936caa5aa	c33e521aa4e07a4c303ed13f6db55a73	1563242	Xenon
GTEX-13W3W-0004-SM-6WSCQ	GTEX-13W3W-0004-SM-6WSCQ.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13W3W-0004-SM-6WSCQ.cram		dg.4503/cb5272b2-7e8e-466c-8fa1-bffd0755311b			dos://dg.4503/cb5272b2-7e8e-466c-8fa1-bffd0755311b	6b54403c54394e2c302aba1610b386fb	49309695407	Xenon
GTEX-13W46-0003-SM-6WSAK	GTEX-13W46-0003-SM-6WSAK.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13W46-0003-SM-6WSAK.crai		dg.4503/c2bd3836-a1e3-4076-ade8-6abe8c28c139			dos://dg.4503/c2bd3836-a1e3-4076-ade8-6abe8c28c139	809ec45a8fa7c2bcdcefb43077d754d0	1598155	Xenon
GTEX-13W46-0003-SM-6WSAK	GTEX-13W46-0003-SM-6WSAK.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13W46-0003-SM-6WSAK.cram		dg.4503/aeb3235a-d866-4df0-acdc-8e40cf9e6e7e			dos://dg.4503/aeb3235a-d866-4df0-acdc-8e40cf9e6e7e	1471a5353eab16915be1cb8478649ed2	52367927515	Xenon
GTEX-13X6H-0001-SM-6WSCM	GTEX-13X6H-0001-SM-6WSCM.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13X6H-0001-SM-6WSCM.crai		dg.4503/e276ab4b-2240-4f0d-8caa-8ed74fbcba1f			dos://dg.4503/e276ab4b-2240-4f0d-8caa-8ed74fbcba1f	1ae1dea4cc4b447027b42fa4892799d9	1607290	Xenon
