gtexid,input,output,size,md5,location,status,workflow_id
GTEX-ZTPG-0003-SM-6WBSO,ark:/57799/b9spDFVz7kUGH8,ark:/57799/b91QlSULFnl8AuW,2725,4a2b3d0b7a781452cae832a1941b70a4,https://bags.fair-research.org/15374805059683_1_15377955376811.outputs.bdbag.zip,COMPLETE,f3b7b72777b867e1-9de1948592936412
GTEX-ZE7O-0002-SM-6UH3I,ark:/57799/b9sYmfWENnrzHP,ark:/57799/b92uSxR20ROWV0,2726,e5cb7fec8d76240e23290d29edea01f8,https://bags.fair-research.org/15374806435039_1_15376860415367.outputs.bdbag.zip,COMPLETE,087cf118e504556e-7e4a12cc87601c48
GTEX-ZTTD-0002-SM-6WBSH,ark:/57799/b912Co46BqcBkpB,,,,,RUNNING,13e4671de55e5fc4-3e8964e7e76ed281
GTEX-ZLFU-0004-SM-7DRPW,ark:/57799/b9ApC49md317pY,ark:/57799/b91FHObhHEhjUqy,2724,5100bc6d26f726388e7189833260241f,https://bags.fair-research.org/15374806196317_1_15376324806958.outputs.bdbag.zip,COMPLETE,5736b59e932800e2-a9ed88af90e45b28
GTEX-ZV6S-0002-SM-6WBSV,ark:/57799/b91J0Xcg55qbXku,ark:/57799/b9LcRghW16x0bn,2724,2d9d1ec979314a6eb81436c16ccf6fde,https://bags.fair-research.org/15375049528393_1_15376993533836.outputs.bdbag.zip,COMPLETE,a6525d1c3cb470dc-6546a0a172807670
GTEX-ZYWO-0004-SM-6WBUE,ark:/57799/b9EsYrFbv1LcKO,ark:/57799/b9171fjpl3A2VrI,2728,9f15f3a24e05dea82d9a6e39bd39f315,https://bags.fair-research.org/15375050438476_1_15376842755492.outputs.bdbag.zip,COMPLETE,cb9725607463af19-642822737b18fb3e
GTEX-YEC4-0006-SM-6UH3M,ark:/57799/b91NkyVAOrVDdyJ,ark:/57799/b9iqGGddDRD8Ta,2725,4f0c4225d3373ad8a5f59b1d4588de9c,https://bags.fair-research.org/15375049519442_1_15376723381335.outputs.bdbag.zip,COMPLETE,218dfd90703970fe-fc1d2e871803f80e
GTEX-XPVG-0003-SM-6UH19,ark:/57799/b9dkHayt5Cp6pQ,ark:/57799/b91NdNn507rqWwy,2722,09079e55d816ddb214a2830ec2813af1,https://bags.fair-research.org/15375050512752_1_15377835257557.outputs.bdbag.zip,COMPLETE,789dfc5fae5cab1c-ff41327fa3839ae8
GTEX-ZWKS-0002-SM-6WBUM,ark:/57799/b9lSZb05CNsjZj,ark:/57799/b9oUga8aDIU0zw,2725,600afb09baf2e18b74e854b3131d3136,https://bags.fair-research.org/15375049452465_1_15376482048562.outputs.bdbag.zip,COMPLETE,59510cf0573b1278-d6559e28db939870
GTEX-ZTX8-0004-SM-6WBSE,ark:/57799/b915e6nWld3mwJ9,ark:/57799/b9IIh617ymTmb2,2726,7ffde8f17cfad14f15c46f5406ec6b0a,https://bags.fair-research.org/15375049846298_1_15376444545544.outputs.bdbag.zip,COMPLETE,5279138572a4db5b-215f31ccdbb3be28
GTEX-ZAB4-0001-SM-6UH36,ark:/57799/b9cfH4Gg1P01OC,ark:/57799/b919MpRJGv5vSst,2724,7dbf28f8852fb0c13f5d814d7cc83e7b,https://bags.fair-research.org/15375048884620_1_15377165649651.outputs.bdbag.zip,COMPLETE,9c0c0876cbb8ee14-f09c8c236ffa8495
GTEX-ZC5H-0003-SM-6UH3C,ark:/57799/b9itXndbG5N2Ck,ark:/57799/b9OuzUk8d4B0M2,2725,4d2fb1f42d7ce35f38f4fe655fa68699,https://bags.fair-research.org/15375050710983_1_15378076769458.outputs.bdbag.zip,COMPLETE,69f38a64bc5fe7f6-b3f5c3d8fc9b24ab
GTEX-Y111-0001-SM-6UH1B,ark:/57799/b9yQvI6rTgfrIm,ark:/57799/b9jmAr4sFyl5Hj,2720,dc6b381c55bf35b1ba6e956cfdbf2997,https://bags.fair-research.org/15375049580359_1_15376495512887.outputs.bdbag.zip,COMPLETE,e4e884fd903f35c1-5c236b392a96cdba
GTEX-ZVZQ-0002-SM-6WBSK,ark:/57799/b9RgkpyH3AgaTp,ark:/57799/b9vHS8qRepGAu9,2727,e719934e9e4755368f7a21adcc59b9e4,https://bags.fair-research.org/15375567232732_1_15377083783081.outputs.bdbag.zip,COMPLETE,a1edde0a389a0bba-fb3f1a6af71a4aa0
GTEX-XUJ4-0001-SM-5JK4T,ark:/57799/b91PQBamZAqoB3c,ark:/57799/b9aHWTSyuYWL4Y,2725,e14ceab9050d97688510400c32d2c2da,https://bags.fair-research.org/15375569967729_1_15377579767052.outputs.bdbag.zip,COMPLETE,2cee9755bc338982-630bf3132c45d267
GTEX-ZF28-0002-SM-6UH3K,ark:/57799/b9KObJHuUYgqxC,ark:/57799/b9oIwHc5XLSyV5,2728,c85c6a8f22dcb006b3fd34f7e33f6543,https://bags.fair-research.org/15375638451998_1_15377712595078.outputs.bdbag.zip,COMPLETE,b4daa9c6ee655d3e-9533f61ff79b01db
GTEX-ZPCL-0001-SM-6WBS6,ark:/57799/b91J0d9bo2KV0FF,ark:/99999/fk4150pVC8hQPbhE,2728,74f5878e552f476d5c57531bcf5061c2,https://bags.fair-research.org/15375568958063_1_15378923790739.outputs.bdbag.zip,COMPLETE,8f4651365ea4290e-2b986060f36b19e4
GTEX-ZVT4-0004-SM-6WBSR,ark:/57799/b9YtfOKvGpoH9m,,,,,RUNNING,cc018774eb3848b7-09744e618a380a63
GTEX-ZPU1-0002-SM-6WBSJ,ark:/57799/b9IIPlKOrMBgj2,ark:/57799/b9N0ZZLkjKj1WH,2727,9d7e6ad6c0c41d7b12e9f3235dac27ba,https://bags.fair-research.org/15375638864495_1_15377250954382.outputs.bdbag.zip,COMPLETE,5214c5b88ad243fa-b00cb60fef24c727
GTEX-XOT4-0001-SM-5URCM,ark:/57799/b913Po7mJpXb8NL,ark:/57799/b9OqtgvgIOIedL,2726,68c9a7c57262af35d9a77b05269d59fc,https://bags.fair-research.org/15375568636975_1_15377207976371.outputs.bdbag.zip,COMPLETE,bdf0d2acb6eb0b51-b9898ab8f9798f49
GTEX-Y8DK-0002-SM-6UH1E,ark:/57799/b91ELRJ8hhdiQT8,ark:/99999/fk4dqO54xztgkyR,2728,c36993a4f43cdf6f61b04b16ba45dd7a,https://bags.fair-research.org/15375637414832_1_15379281876958.outputs.bdbag.zip,COMPLETE,8cbc1fdb3d7f96eb-e42b20c637a5090c
